#Society
soc_congress;Congress;;;;;;;;;;;;;x
string_soc_congress;soc_congress;;;;;;;;;;;;;x

soc_congress_desc;This group of nobles is the revival of the once great Congress of prediluvian America, the meeting of nobility to debate and vote on laws. Reconvened by the ruler of the restored America, it is made up of nobles from all across the United States, with a goal of keeping the powers of their liege in check.;;;;;;;;;;;;;x
soc_congress_leader_desc;The Speaker of Congress, the overseer of all Congressional debate;;;;;;;;;;;;;x

soc_congress_rank_1_female;Congresswoman;;;;;;;;;;;;;x
soc_congress_rank_2_female;Chairwoman;;;;;;;;;;;;;x
soc_congress_rank_3_female;Whip;;;;;;;;;;;;;x
soc_congress_rank_4_female;Party Leader;;;;;;;;;;;;;x
soc_congress_rank_1_male;Congressman;;;;;;;;;;;;;x
soc_congress_rank_2_male;Chairman;;;;;;;;;;;;;x
soc_congress_rank_3_male;Whip;;;;;;;;;;;;;x
soc_congress_rank_4_male;Party Leader;;;;;;;;;;;;;x

soc_congress_currency;Political Influence;;;;;;;;;;;;;x
request_to_rank_up_within_soc_congress;Request assignment.;;;;;;;;;;;;;x
request_to_rank_up_within_soc_congress_tt;Has [Root.Society.GetCurrency]§! greater or equal to [Root.GetSocietyRankUpTooltip1];;;;;;;;;;;;;x
congress_gain_tier_duke_tooltip;Is a Duke;;;;;;;;;;;;;x
congress_gain_tier_king_tooltip;Is a King;;;;;;;;;;;;;x

SPEAKER_TITLE;Speaker;;;;;;;;;;;;;x
SPEAKER_TITLE_FEMALE;Speaker;;;;;;;;;;;;;x

propose_legislation_power_desc;Propose a piece of legislation to further your and your party's goals.;;;;;;;;;;;;;x 

propose_tax_legislation_power_desc;As a member of the Democrepublican Party, it is your duty to uphold both the Constitution and the Edicts of Washington. Lately, however, both documents have been violated by unequal demands of tax and levies from the lords, patricians, and clergy of America. As a remedy, you may put forth legislation to readjust the tax and levy laws.;;;;;;;;;;;;;x

whip_up_support_power_desc;Convince a member of Congress to join your party.;;;;;;;;;;;;;x

run_for_speaker_power_desc;Run for the office of Speaker of Congress, a position that grants a large amount of influence over the rest of the body.;;;;;;;;;;;;;x

evaluate_legislation;Evaluate Legislation;;;;;;;;;;;;;x
evaluate_legislation_power_desc;If you are Speaker, all legislation proposed by a Congressperson must pass through your office, and you have the final say.;;;;;;;;;;;;;x

#Political Parties
form_party;Form Political Party;;;;;;;;;;;;;x 
form_party_desc;Even though Congress has just been reconvened, political factions have already began to crystalize. I can use this factionalization to my advantage;;;;;;;;;;;;;x

EVTDESCSC1;Political factions have already taken root in Congress, I have the oppurtunity to form an official party.;;;;;;;;;;;;;x
EVTOPTASC1;I shall fight against the tyranny of the executive.;;;;;;;;;;;;;x
demrep_TT;Form the Democrepublican Party;;;;;;;;;;;;;x
EVTOPTBSC1;I shall fight against the tyranny of mob rule.;;;;;;;;;;;;;x
am_loyalist_TT;Form the Loyalist Party;;;;;;;;;;;;;x

join_party;Join Political Party;;;;;;;;;;;;;x 
join_party_desc;As a member of Congress, it is politically expedient for you to caucus with one of the parties.;;;;;;;;;;;;;x 

EVTDESCSC2;Now that I am a member of the esteemed Congress, I can choose to associate myself with a political party.;;;;;;;;;;;;;x
EVTOPTASC2;I'll join the Democrepublicans;;;;;;;;;;;;;x
EVTOPTBSC2;I'll join the Loyalists;;;;;;;;;;;;;x

demrep;Democrepublican;;;;;;;;;;;;;x
demrep_desc;This character is part of the Democrepublican Party, sworn to protect the rights of man from the executive.;;;;;;;;;;;;;x
am_loyalist;Loyalist;;;;;;;;;;;;;x
am_loyalist_desc;This character is part of the Loyalist Party, sworn to defend the nation from mob rule.;;;;;;;;;;;;;x

#Convening Congress
